entity_type,entity_id,canonical,surface,normalized,language,variant,source,catalog_count,active,ambiguity_count,metadata_json
unit,mm,mm,mm,mm,en,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""мм"",""base_unit"":""m"",""factor_to_base"":0.001,""requires_adjacent_number"":true}"
unit,mm,mm,миллиметр,миллиметр,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""мм"",""base_unit"":""m"",""factor_to_base"":0.001,""requires_adjacent_number"":true}"
unit,mm,mm,миллиметра,миллиметр,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""мм"",""base_unit"":""m"",""factor_to_base"":0.001,""requires_adjacent_number"":true}"
unit,mm,mm,миллиметров,миллиметр,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""мм"",""base_unit"":""m"",""factor_to_base"":0.001,""requires_adjacent_number"":true}"
unit,mm,mm,миллиметры,миллиметр,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""мм"",""base_unit"":""m"",""factor_to_base"":0.001,""requires_adjacent_number"":true}"
unit,mm,mm,мм,мм,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""мм"",""base_unit"":""m"",""factor_to_base"":0.001,""requires_adjacent_number"":true}"
unit,cm,cm,cm,cm,en,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""см"",""base_unit"":""m"",""factor_to_base"":0.01,""requires_adjacent_number"":true}"
unit,cm,cm,сантиметр,сантиметр,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""см"",""base_unit"":""m"",""factor_to_base"":0.01,""requires_adjacent_number"":true}"
unit,cm,cm,сантиметра,сантиметр,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""см"",""base_unit"":""m"",""factor_to_base"":0.01,""requires_adjacent_number"":true}"
unit,cm,cm,сантиметров,сантиметр,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""см"",""base_unit"":""m"",""factor_to_base"":0.01,""requires_adjacent_number"":true}"
unit,cm,cm,сантиметры,сантиметр,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""см"",""base_unit"":""m"",""factor_to_base"":0.01,""requires_adjacent_number"":true}"
unit,cm,cm,см,см,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""см"",""base_unit"":""m"",""factor_to_base"":0.01,""requires_adjacent_number"":true}"
unit,m,m,m,m,en,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""м"",""base_unit"":""m"",""factor_to_base"":1.0,""requires_adjacent_number"":true}"
unit,m,m,м,м,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""м"",""base_unit"":""m"",""factor_to_base"":1.0,""requires_adjacent_number"":true}"
unit,m,m,метр,метр,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""м"",""base_unit"":""m"",""factor_to_base"":1.0,""requires_adjacent_number"":true}"
unit,m,m,метра,метр,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""м"",""base_unit"":""m"",""factor_to_base"":1.0,""requires_adjacent_number"":true}"
unit,m,m,метров,метр,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""м"",""base_unit"":""m"",""factor_to_base"":1.0,""requires_adjacent_number"":true}"
unit,m,m,метры,метр,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""м"",""base_unit"":""m"",""factor_to_base"":1.0,""requires_adjacent_number"":true}"
unit,km,km,km,km,en,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""км"",""base_unit"":""m"",""factor_to_base"":1000.0,""requires_adjacent_number"":true}"
unit,km,km,километр,километр,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""км"",""base_unit"":""m"",""factor_to_base"":1000.0,""requires_adjacent_number"":true}"
unit,km,km,километра,километр,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""км"",""base_unit"":""m"",""factor_to_base"":1000.0,""requires_adjacent_number"":true}"
unit,km,km,километров,километр,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""км"",""base_unit"":""m"",""factor_to_base"":1000.0,""requires_adjacent_number"":true}"
unit,km,km,километры,километр,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""км"",""base_unit"":""m"",""factor_to_base"":1000.0,""requires_adjacent_number"":true}"
unit,km,km,км,км,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""км"",""base_unit"":""m"",""factor_to_base"":1000.0,""requires_adjacent_number"":true}"
unit,um,um,um,um,en,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""мкм"",""base_unit"":""m"",""factor_to_base"":1e-06,""requires_adjacent_number"":true}"
unit,um,um,µm,μm,en,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""мкм"",""base_unit"":""m"",""factor_to_base"":1e-06,""requires_adjacent_number"":true}"
unit,um,um,микрометр,микрометр,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""мкм"",""base_unit"":""m"",""factor_to_base"":1e-06,""requires_adjacent_number"":true}"
unit,um,um,микрон,микрон,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""мкм"",""base_unit"":""m"",""factor_to_base"":1e-06,""requires_adjacent_number"":true}"
unit,um,um,микрона,микрон,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""мкм"",""base_unit"":""m"",""factor_to_base"":1e-06,""requires_adjacent_number"":true}"
unit,um,um,мкм,мкм,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""мкм"",""base_unit"":""m"",""factor_to_base"":1e-06,""requires_adjacent_number"":true}"
unit,nm,nm,nm,nm,en,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""нм"",""base_unit"":""m"",""factor_to_base"":1e-09,""requires_adjacent_number"":true}"
unit,nm,nm,нанометр,нанометр,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""нм"",""base_unit"":""m"",""factor_to_base"":1e-09,""requires_adjacent_number"":true}"
unit,nm,nm,нанометра,нанометр,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""нм"",""base_unit"":""m"",""factor_to_base"":1e-09,""requires_adjacent_number"":true}"
unit,nm,nm,нанометров,нанометр,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""нм"",""base_unit"":""m"",""factor_to_base"":1e-09,""requires_adjacent_number"":true}"
unit,nm,nm,нм,нм,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""нм"",""base_unit"":""m"",""factor_to_base"":1e-09,""requires_adjacent_number"":true}"
unit,inch,inch,"""",,neutral,lossy_separator,manual_bilingual+catalog,0,false,1,"{""dimension"":""length"",""preferred"":""дюйм"",""base_unit"":""m"",""factor_to_base"":0.0254,""requires_adjacent_number"":true}"
unit,inch,inch,in,in,en,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""дюйм"",""base_unit"":""m"",""factor_to_base"":0.0254,""requires_adjacent_number"":true}"
unit,inch,inch,inch,inch,en,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""дюйм"",""base_unit"":""m"",""factor_to_base"":0.0254,""requires_adjacent_number"":true}"
unit,inch,inch,inches,inches,en,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""дюйм"",""base_unit"":""m"",""factor_to_base"":0.0254,""requires_adjacent_number"":true}"
unit,inch,inch,дюйм,дюйм,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""дюйм"",""base_unit"":""m"",""factor_to_base"":0.0254,""requires_adjacent_number"":true}"
unit,inch,inch,дюйма,дюйм,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""дюйм"",""base_unit"":""m"",""factor_to_base"":0.0254,""requires_adjacent_number"":true}"
unit,inch,inch,дюймов,дюйм,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""дюйм"",""base_unit"":""m"",""factor_to_base"":0.0254,""requires_adjacent_number"":true}"
unit,inch,inch,дюймы,дюйм,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""дюйм"",""base_unit"":""m"",""factor_to_base"":0.0254,""requires_adjacent_number"":true}"
unit,inch,inch,″,′′,neutral,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""дюйм"",""base_unit"":""m"",""factor_to_base"":0.0254,""requires_adjacent_number"":true}"
unit,foot,foot,',,neutral,lossy_separator,manual_bilingual+catalog,0,false,1,"{""dimension"":""length"",""preferred"":""фут"",""base_unit"":""m"",""factor_to_base"":0.3048,""requires_adjacent_number"":true}"
unit,foot,foot,foot,foot,en,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""фут"",""base_unit"":""m"",""factor_to_base"":0.3048,""requires_adjacent_number"":true}"
unit,foot,foot,ft,ft,en,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""фут"",""base_unit"":""m"",""factor_to_base"":0.3048,""requires_adjacent_number"":true}"
unit,foot,foot,фут,фут,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""фут"",""base_unit"":""m"",""factor_to_base"":0.3048,""requires_adjacent_number"":true}"
unit,foot,foot,фута,фут,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""фут"",""base_unit"":""m"",""factor_to_base"":0.3048,""requires_adjacent_number"":true}"
unit,foot,foot,футов,фут,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""length"",""preferred"":""фут"",""base_unit"":""m"",""factor_to_base"":0.3048,""requires_adjacent_number"":true}"
unit,foot,foot,′,′,neutral,lossy_separator,manual_bilingual+catalog,0,false,1,"{""dimension"":""length"",""preferred"":""фут"",""base_unit"":""m"",""factor_to_base"":0.3048,""requires_adjacent_number"":true}"
unit,mg,mg,mg,mg,en,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""мг"",""base_unit"":""kg"",""factor_to_base"":1e-06,""requires_adjacent_number"":true}"
unit,mg,mg,мг,мг,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""мг"",""base_unit"":""kg"",""factor_to_base"":1e-06,""requires_adjacent_number"":true}"
unit,mg,mg,миллиграмм,миллиграмм,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""мг"",""base_unit"":""kg"",""factor_to_base"":1e-06,""requires_adjacent_number"":true}"
unit,mg,mg,миллиграмма,миллиграмм,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""мг"",""base_unit"":""kg"",""factor_to_base"":1e-06,""requires_adjacent_number"":true}"
unit,mg,mg,миллиграммов,миллиграмм,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""мг"",""base_unit"":""kg"",""factor_to_base"":1e-06,""requires_adjacent_number"":true}"
unit,g,g,g,g,en,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""г"",""base_unit"":""kg"",""factor_to_base"":0.001,""requires_adjacent_number"":true}"
unit,g,g,г,г,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""г"",""base_unit"":""kg"",""factor_to_base"":0.001,""requires_adjacent_number"":true}"
unit,g,g,гр,гр,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""г"",""base_unit"":""kg"",""factor_to_base"":0.001,""requires_adjacent_number"":true}"
unit,g,g,грамм,грамм,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""г"",""base_unit"":""kg"",""factor_to_base"":0.001,""requires_adjacent_number"":true}"
unit,g,g,грамма,грамм,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""г"",""base_unit"":""kg"",""factor_to_base"":0.001,""requires_adjacent_number"":true}"
unit,g,g,граммов,грамм,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""г"",""base_unit"":""kg"",""factor_to_base"":0.001,""requires_adjacent_number"":true}"
unit,g,g,граммы,грамм,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""г"",""base_unit"":""kg"",""factor_to_base"":0.001,""requires_adjacent_number"":true}"
unit,kg,kg,kg,kg,en,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""кг"",""base_unit"":""kg"",""factor_to_base"":1.0,""requires_adjacent_number"":true}"
unit,kg,kg,кг,кг,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""кг"",""base_unit"":""kg"",""factor_to_base"":1.0,""requires_adjacent_number"":true}"
unit,kg,kg,кило,кило,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""кг"",""base_unit"":""kg"",""factor_to_base"":1.0,""requires_adjacent_number"":true}"
unit,kg,kg,килограмм,килограмм,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""кг"",""base_unit"":""kg"",""factor_to_base"":1.0,""requires_adjacent_number"":true}"
unit,kg,kg,килограмма,килограмм,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""кг"",""base_unit"":""kg"",""factor_to_base"":1.0,""requires_adjacent_number"":true}"
unit,kg,kg,килограммов,килограмм,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""кг"",""base_unit"":""kg"",""factor_to_base"":1.0,""requires_adjacent_number"":true}"
unit,kg,kg,килограммы,килограмм,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""кг"",""base_unit"":""kg"",""factor_to_base"":1.0,""requires_adjacent_number"":true}"
unit,t,t,t,t,en,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""т"",""base_unit"":""kg"",""factor_to_base"":1000.0,""requires_adjacent_number"":true}"
unit,t,t,т,т,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""т"",""base_unit"":""kg"",""factor_to_base"":1000.0,""requires_adjacent_number"":true}"
unit,t,t,тонн,тонна,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""т"",""base_unit"":""kg"",""factor_to_base"":1000.0,""requires_adjacent_number"":true}"
unit,t,t,тонна,тонна,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""т"",""base_unit"":""kg"",""factor_to_base"":1000.0,""requires_adjacent_number"":true}"
unit,t,t,тонны,тонна,ru,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""mass"",""preferred"":""т"",""base_unit"":""kg"",""factor_to_base"":1000.0,""requires_adjacent_number"":true}"
unit,mm2,mm2,mm2,mm2,en,unit_alias,manual_bilingual+catalog,0,true,1,"{""dimension"":""area"",""preferred"":""мм²"",""base_unit"":""m2"",""factor_to_base"":1e-06,""requires_adjacent_number"":true}"
