entity_type,suspicious_id,suspicious_surface,suspicious_count,suggested_id,suggested_surface,suggested_count,edit_distance,action
brand,bose,bose,49,rose,rose,1878,1,review_only_not_auto_applied
brand,ravslezak,ravslezak,48,rav slezak,rav slezak,306,1,review_only_not_auto_applied
brand,buka,buka,45,beka,beka,336,1,review_only_not_auto_applied
brand,zenet,zenet,42,tenet,tenet,467,1,review_only_not_auto_applied
brand,robe,robe,40,rose,rose,1878,1,review_only_not_auto_applied
brand,edon,edon,39,econ,econ,196,1,review_only_not_auto_applied
brand,gauss.,gauss.,38,gauss,gauss,381,1,review_only_not_auto_applied
brand,ceramica nova,ceramica nova,37,ceramicanova,ceramicanova,818,1,review_only_not_auto_applied
brand,dorf,dorf,34,dorn,dorn,482,1,review_only_not_auto_applied
brand,lumien,lumien,33,lumion,lumion,560,1,review_only_not_auto_applied
brand,nikon,nikon,31,ikon,ikon,875,1,review_only_not_auto_applied
brand,leica,leica,24,elica,elica,320,1,review_only_not_auto_applied
brand,camelion.,camelion.,23,camelion,camelion,611,1,review_only_not_auto_applied
brand,sormat,sormat,23,format,format,153,1,review_only_not_auto_applied
brand,tima,tima,23,timo,timo,517,1,review_only_not_auto_applied
brand,icon,icon,21,econ,econ,196,1,review_only_not_auto_applied
brand,icon,icon,21,ikon,ikon,875,1,review_only_not_auto_applied
brand,monster,monster,21,monsher,monsher,167,1,review_only_not_auto_applied
brand,ordo,ordo,20,ardo,ardo,213,1,review_only_not_auto_applied
brand,canton,canton,19,canon,canon,388,1,review_only_not_auto_applied
brand,halsa,halsa,19,hansa,hansa,101,1,review_only_not_auto_applied
brand,hilberg,hilberg,19,hiberg,hiberg,332,1,review_only_not_auto_applied
brand,xbot,xbot,19,xbox,xbox,979,1,review_only_not_auto_applied
brand,leao,leao,18,lego,lego,1314,1,review_only_not_auto_applied
brand,leao,leao,18,lebo,lebo,93,1,review_only_not_auto_applied
brand,noname,noname,18,no name,no name,2871,1,review_only_not_auto_applied
brand,green,green,17,ugreen,ugreen,126,1,review_only_not_auto_applied
brand,orca,orca,17,roca,roca,114,1,review_only_not_auto_applied
brand,dali,dali,15,deli,deli,87,1,review_only_not_auto_applied
brand,edson,edson,15,epson,epson,219,1,review_only_not_auto_applied
brand,акма,акма,15,кама,кама,129,1,review_only_not_auto_applied
brand,gross,gross,14,grass,grass,157,1,review_only_not_auto_applied
brand,idea,idea,13,midea,midea,490,1,review_only_not_auto_applied
brand,kleber,kleber,13,klever,klever,138,1,review_only_not_auto_applied
brand,rider,rider,13,ridder,ridder,687,1,review_only_not_auto_applied
brand,rode,rode,13,rose,rose,1878,1,review_only_not_auto_applied
brand,stork,stork,13,stor,stor,113,1,review_only_not_auto_applied
brand,atlantic,atlantic,12,atlantis,atlantis,239,1,review_only_not_auto_applied
brand,proficook,proficook,12,profi cook,profi cook,125,1,review_only_not_auto_applied
brand,auger,auger,11,agger,agger,293,1,review_only_not_auto_applied
brand,beha,beha,11,beka,beka,336,1,review_only_not_auto_applied
brand,guess,guess,11,gess,gess,71,1,review_only_not_auto_applied
brand,morechoice,morechoice,11,more choice,more choice,113,1,review_only_not_auto_applied
brand,no name.,no name.,11,no name,no name,2871,1,review_only_not_auto_applied
brand,bork,bork,10,bort,bort,328,1,review_only_not_auto_applied
brand,kromix,kromix,10,kromax,kromax,376,1,review_only_not_auto_applied
brand,rosa,rosa,10,roca,roca,114,1,review_only_not_auto_applied
brand,rosa,rosa,10,rose,rose,1878,1,review_only_not_auto_applied
brand,sanita,sanita,10,savita,savita,74,1,review_only_not_auto_applied
brand,venta,venta,10,vesta,vesta,84,1,review_only_not_auto_applied
brand,weber,weber,10,webert,webert,125,1,review_only_not_auto_applied
brand,weber,weber,10,webber,webber,107,1,review_only_not_auto_applied
brand,crown,crown,9,cron,cron,183,1,review_only_not_auto_applied
brand,atlanta,atlanta,8,atlant,atlant,286,1,review_only_not_auto_applied
brand,nival,nival,8,rival,rival,1127,1,review_only_not_auto_applied
brand,vetta,vetta,8,vesta,vesta,84,1,review_only_not_auto_applied
brand,эника,эника,8,ника,ника,66,1,review_only_not_auto_applied
brand,arco,arco,7,ardo,ardo,213,1,review_only_not_auto_applied
brand,ariel,ariel,7,artel,artel,70,1,review_only_not_auto_applied
brand,cotta,cotta,7,costa,costa,215,1,review_only_not_auto_applied
brand,fazer,fazer,7,faber,faber,93,1,review_only_not_auto_applied
brand,fazer,fazer,7,razer,razer,156,1,review_only_not_auto_applied
brand,fram,fram,7,frap,frap,252,1,review_only_not_auto_applied
brand,halman,halman,7,zalman,zalman,76,1,review_only_not_auto_applied
brand,intrex,intrex,7,intex,intex,74,1,review_only_not_auto_applied
brand,jada,jada,7,lada,lada,87,1,review_only_not_auto_applied
