color_id,canonical,surface,normalized,source,catalog_count,mapping_reason,active,version
white,белый,белый,белый,manual_palette,115954,manual_alias,true,catalog_palette_30_v1
black,черный,черный,черный,manual_palette,69443,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,разноцветный,разноцветный,manual_palette,43970,manual_alias,true,catalog_palette_30_v1
transparent,прозрачный,прозрачный,прозрачный,manual_palette,14883,manual_alias,true,catalog_palette_30_v1
gray,серый,серый,серый,manual_palette,14149,manual_alias,true,catalog_palette_30_v1
silver,серебристый,серебристый,серебристый,manual_palette,8654,manual_alias,true,catalog_palette_30_v1
chrome,хром,хром,хром,manual_palette,8239,manual_alias,true,catalog_palette_30_v1
beige,бежевый,бежевый,бежевый,manual_palette,6903,manual_alias,true,catalog_palette_30_v1
blue,синий,синий,синий,manual_palette,5952,manual_alias,true,catalog_palette_30_v1
green,зеленый,зеленый,зеленый,manual_palette,4968,manual_alias,true,catalog_palette_30_v1
brown,коричневый,коричневый,коричневый,manual_palette,4347,manual_alias,true,catalog_palette_30_v1
red,красный,красный,красный,manual_palette,3729,manual_alias,true,catalog_palette_30_v1
stainless_steel,нержавеющая сталь,нержавеющая сталь,нержавеющая сталь,manual_palette,2955,manual_alias,true,catalog_palette_30_v1
light_blue,голубой,голубой,голубой,manual_palette,2815,manual_alias,true,catalog_palette_30_v1
black,черный,черный матовый,черный матовый,catalog_color_attributes,2767,color_anchor,true,catalog_palette_30_v1
gray,серый,темно серый,темно серый,catalog_color_attributes,2432,color_anchor,true,catalog_palette_30_v1
pink,розовый,розовый,розовый,manual_palette,2375,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,черный/ красный,черный красный,catalog_color_attributes,2229,multiple_color_anchors,true,catalog_palette_30_v1
orange,оранжевый,оранжевый,оранжевый,manual_palette,2151,manual_alias,true,catalog_palette_30_v1
purple,фиолетовый,фиолетовый,фиолетовый,manual_palette,2033,manual_alias,true,catalog_palette_30_v1
graphite,графитовый,графитовый,графитовый,manual_palette,1890,manual_alias,true,catalog_palette_30_v1
gray,серый,светло серый,светло серый,catalog_color_attributes,1776,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,черный/ синий,черный синий,catalog_color_attributes,1755,multiple_color_anchors,true,catalog_palette_30_v1
yellow,желтый,желтый,желтый,manual_palette,1744,manual_alias,true,catalog_palette_30_v1
gold,золотистый,золотистый,золотистый,manual_palette,1739,manual_alias,true,catalog_palette_30_v1
gold,золотистый,золотой,золотой,manual_palette,1644,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,черный/ серый,черный серый,catalog_color_attributes,1611,multiple_color_anchors,true,catalog_palette_30_v1
amber,янтарный,янтарный,янтарный,manual_palette,1165,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,черный/ серебристый,черный серебристый,catalog_color_attributes,1090,multiple_color_anchors,true,catalog_palette_30_v1
blue,синий,темно синий,темно синий,catalog_color_attributes,1013,color_anchor,true,catalog_palette_30_v1
white,белый,белый матовый,белый матовый,catalog_color_attributes,895,color_anchor,true,catalog_palette_30_v1
bronze,бронзовый,бронзовый,бронзовый,manual_palette,894,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,серебристый/ черный,серебристый черный,catalog_color_attributes,858,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,белый/ черный,белый черный,catalog_color_attributes,818,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,серый/ черный,серый черный,catalog_color_attributes,800,multiple_color_anchors,true,catalog_palette_30_v1
silver,серебристый,стальной,стальной,manual_palette,781,manual_alias,true,catalog_palette_30_v1
black,черный,black,black,manual_palette,769,manual_alias,true,catalog_palette_30_v1
gold,золотистый,матовое золото,матовое золото,catalog_color_attributes,749,color_anchor,true,catalog_palette_30_v1
multicolor,разноцветный,белый/ серый,белый серый,catalog_color_attributes,748,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,бежевый/ белый,бежевый белый,catalog_color_attributes,675,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,желтый/ черный,желтый черный,catalog_color_attributes,666,multiple_color_anchors,true,catalog_palette_30_v1
turquoise,бирюзовый,бирюзовый,бирюзовый,manual_palette,633,manual_alias,true,catalog_palette_30_v1
gray,серый,пепельно серый,пепельно серый,catalog_color_attributes,620,color_anchor,true,catalog_palette_30_v1
cream,кремовый,слоновая кость,слоновая кость,manual_palette,569,manual_alias,true,catalog_palette_30_v1
sand,песочный,песочный,песочный,manual_palette,558,manual_alias,true,catalog_palette_30_v1
cream,кремовый,кремовый,кремовый,manual_palette,554,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,красный/ черный,красный черный,catalog_color_attributes,539,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,черный/ оранжевый,черный оранжевый,catalog_color_attributes,516,multiple_color_anchors,true,catalog_palette_30_v1
graphite,графитовый,графит,графит,manual_palette,482,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,черный/ желтый,черный желтый,catalog_color_attributes,469,multiple_color_anchors,true,catalog_palette_30_v1
multicolor,разноцветный,нержавеющая сталь/ черный,нержавеющая сталь черный,catalog_color_attributes,465,multiple_color_anchors,true,catalog_palette_30_v1
mint,мятный,мятный,мятный,manual_palette,464,manual_alias,true,catalog_palette_30_v1
multicolor,разноцветный,черный/ белый,черный белый,catalog_color_attributes,458,multiple_color_anchors,true,catalog_palette_30_v1
gray,серый,антрацит,антрацит,manual_palette,428,manual_alias,true,catalog_palette_30_v1
chocolate,шоколадный,шоколадный,шоколадный,manual_palette,423,manual_alias,true,catalog_palette_30_v1
gray,серый,серый металлик,серый металлик,catalog_color_attributes,420,color_anchor,true,catalog_palette_30_v1
brown,коричневый,темно коричневый,темно коричневый,catalog_color_attributes,417,color_anchor,true,catalog_palette_30_v1
chrome,хром,хромированный,хромированный,manual_palette,402,manual_alias,true,catalog_palette_30_v1
