surface,normalized,catalog_count,status,reason
матовый,матовый,1235,review_only_not_auto_applied,no_safe_anchor
сатин,сатин,982,review_only_not_auto_applied,no_safe_anchor
светлое дерево,светлое дерево,525,review_only_not_auto_applied,no_safe_anchor
металлик,металлик,404,review_only_not_auto_applied,no_safe_anchor
coastal wetlands,coastal wetlands,378,review_only_not_auto_applied,no_safe_anchor
ethereal sky,ethereal sky,378,review_only_not_auto_applied,no_safe_anchor
sanded onyx,sanded onyx,378,review_only_not_auto_applied,no_safe_anchor
urban asphalt,urban asphalt,378,review_only_not_auto_applied,no_safe_anchor
urban draft,urban draft,378,review_only_not_auto_applied,no_safe_anchor
сияющая звезда,сияющая звезда,276,review_only_not_auto_applied,no_safe_anchor
кашемир,кашемир,266,review_only_not_auto_applied,no_safe_anchor
камуфляж,камуфляж,202,review_only_not_auto_applied,no_safe_anchor
бетон,бетон,176,review_only_not_auto_applied,no_safe_anchor
дерево,дерево,164,review_only_not_auto_applied,no_safe_anchor
вороненая сталь,вороненая сталь,124,review_only_not_auto_applied,no_safe_anchor
рисунок,рисунок,108,review_only_not_auto_applied,no_safe_anchor
орех,орех,103,review_only_not_auto_applied,no_safe_anchor
топаз,топаз,100,review_only_not_auto_applied,no_safe_anchor
дуб,дуб,99,review_only_not_auto_applied,no_safe_anchor
темное дерево,темное дерево,97,review_only_not_auto_applied,no_safe_anchor
зеркальный,зеркальный,90,review_only_not_auto_applied,no_safe_anchor
natural titanium,natural titanium,85,review_only_not_auto_applied,no_safe_anchor
фисташковый,фисташковый,85,review_only_not_auto_applied,no_safe_anchor
натуральное дерево,натуральное дерево,79,review_only_not_auto_applied,no_safe_anchor
desert titanium,desert titanium,77,review_only_not_auto_applied,no_safe_anchor
полуночный,полуночный,70,review_only_not_auto_applied,no_safe_anchor
мокко,мокко,64,review_only_not_auto_applied,no_safe_anchor
дуб крафт табак,дуб крафт табак,59,review_only_not_auto_applied,no_safe_anchor
алюминий,алюминий,58,review_only_not_auto_applied,no_safe_anchor
лаванда,лаванда,58,review_only_not_auto_applied,no_safe_anchor
midnight,midnight,57,review_only_not_auto_applied,no_safe_anchor
металлический,металлический,57,review_only_not_auto_applied,no_safe_anchor
дуб вотан,дуб вотан,51,review_only_not_auto_applied,no_safe_anchor
ultramarine,ultramarine,50,review_only_not_auto_applied,no_safe_anchor
мраморный,мраморный,48,review_only_not_auto_applied,no_safe_anchor
опал,опал,42,review_only_not_auto_applied,no_safe_anchor
starlight,starlight,40,review_only_not_auto_applied,no_safe_anchor
иней,иней,39,review_only_not_auto_applied,no_safe_anchor
дуб крафт,дуб крафт,38,review_only_not_auto_applied,no_safe_anchor
олива,олива,36,review_only_not_auto_applied,no_safe_anchor
платиновый,платиновый,36,review_only_not_auto_applied,no_safe_anchor
