query_original,query_normalized
b97,b97
Телевизор Смарт диагональ 50 частота обновления 120 Гц,телевизор смарт диагональ 50 частота обновления 120 гц
ноутбку,ноутбку
смартфоны samsung galaxy s25 ultra новый. июпн5,смартфоны samsung galaxy s25 ultra новый. июпн5
lphone 17 pro,lphone 17 pro
Beko B5RCNK403 холодильник,beko b5rcnk403 холодильник
Жидкость для ирригатора,жидкость для ирригатора
маленький холодильник в мвидио в карнавале,маленький холодильник в мвидио в карнавале
насос для воды из бочки,насос для воды из бочки
смартфоны samsung galaxy a57 128,смартфоны samsung galaxy a57 128
Maibenben Typhoon X16D,maibenben typhoon x16d
SC 3 EasyFix,sc 3 easyfix
Смартфон Huawei,смартфон huawei
White Friday Рассрочка 0-0-24 Обзор Смартфон HUAWEI nova 15,white friday рассрочка 0 0 24 обзор смартфон huawei nova 15
Pico 4,pico 4
Apple iPad Air 11 (2025) M3 LTE 256gb Blue,apple ipad air 11 2025 m3 lte 256gb blue
Galanza,galanza
41.12 аксион,41.12 аксион
Сушильные машины лудщий по  отзывам,сушильные машины лудщий по отзывам
Atvel Zorro Z7 и серия Hobot,atvel zorro z7 и серия hobot
UYS2002B91 11Win GB16 SSD TB1 H210 5Core R10IRH01 Mini IdeaCentre Lenovo,uys2002b91 11win gb16 ssd tb1 h210 5core r10irh01 mini ideacentre lenovo
Микроволновка без поворотного стола и с отключением звукового сигнала,микроволновка без поворотного стола и с отключением звукового сигнала
Электровелисипед minoko,электровелисипед minoko
стиральная машинка узкая 40*50,стиральная машинка узкая 40 50
узкие стиральные машины electrolux,узкие стиральные машины electrolux
портативная колонка со встроенным радио,портативная колонка со встроенным радио
 20072787,20072787
ванплас ,ванплас
Кабель USB Type-с 2 м,кабель usb type с 2 м
стиральная машинка малютка без отжима фея ,стиральная машинка малютка без отжима фея
тостеры красный,тостеры красный
Powerac PR8000,powerac pr8000
Apple MacBook Air 13 m3 16г,apple macbook air 13 m3 16г
Кукла ,кукла
барьео,барьео
Пылесос грандиг вертикальный ,пылесос грандиг вертикальный
розлвый телефон,розлвый телефон
Смартфон HONOR 400 Pro 12GB/512GB черный,смартфон honor 400 pro 12gb/512gb черный
смарт часы чяоми,смарт часы чяоми
400487740,400487740
одноразовые пылесборники,одноразовые пылесборники
