annotation_id,query_original,query_normalized,category,category_confidence,entities_json,quality_grade,split,reviewer_status,reviewer_comment
fdb41ab6ecd57821f5053be5, Midea духовой шкаф,midea духовой шкаф,встраиваемый электрический духовой шкаф,0.9712749970205482,"[{""type"":""brand"",""value"":""midea"",""text"":""midea"",""start"":0,""end"":5,""token_start"":0,""token_end"":1,""confidence"":1.0,""source"":""brand_exact"",""matched_candidate"":""midea"",""unit"":""""}]",A,validation,"",""
3f8bb2a399993fdee3a976c4,"Thunderobot Range 17 G2 Evo Игровой ноутбук 17.3"", Intel Core i5-13420H, RAM 16 ГБ, SSD 1000 ГБ","thunderobot range 17 g2 evo игровой ноутбук 17.3 , intel core i5 13420h, ram 16 гб, ssd 1000 гб",ноутбуки,1.0,"[{""type"":""brand"",""value"":""thunderobot"",""text"":""thunderobot"",""start"":0,""end"":11,""token_start"":0,""token_end"":1,""confidence"":1.0,""source"":""brand_exact"",""matched_candidate"":""thunderobot"",""unit"":""""},{""type"":""processor_brand"",""value"":""intel"",""text"":""intel"",""start"":51,""end"":56,""token_start"":9,""token_end"":10,""confidence"":1.0,""source"":""attribute_catalog_exact"",""matched_candidate"":""intel"",""unit"":""""},{""type"":""processor_model"",""value"":""core i5"",""text"":""core i5"",""start"":57,""end"":64,""token_start"":10,""token_end"":12,""confidence"":1.0,""source"":""attribute_catalog_exact"",""matched_candidate"":""core i5"",""unit"":""""},{""type"":""memory_ram"",""value"":""16 гб"",""text"":""16 гб"",""start"":77,""end"":82,""token_start"":14,""token_end"":16,""confidence"":1.0,""source"":""attribute_catalog_exact"",""matched_candidate"":""16 гб"",""unit"":""ГБ""}]",A,validation,"",""
3a928fac23dde313b3b75767,Зарядка ugreen 45,зарядка ugreen 45,зарядные сетевые устройства,1.0,"[{""type"":""brand"",""value"":""ugreen"",""text"":""ugreen"",""start"":8,""end"":14,""token_start"":1,""token_end"":2,""confidence"":1.0,""source"":""brand_exact"",""matched_candidate"":""ugreen"",""unit"":""""}]",A,validation,"",""
dc27a724ff15e467e8d13979,Зарядка 45 вт,зарядка 45 вт,зарядные сетевые устройства,0.9029378849266059,"[{""type"":""power"",""value"":""45 вт"",""text"":""45 вт"",""start"":8,""end"":13,""token_start"":1,""token_end"":3,""confidence"":1.0,""source"":""attribute_catalog_exact"",""matched_candidate"":""45 вт"",""unit"":""Вт""}]",B,validation,"",""
1e2a38633d7a29f540996280,"Фен ""Rowenta Studio Dry Glow CV5820F0",фен rowenta studio dry glow cv5820f0,фены,1.0,"[{""type"":""brand"",""value"":""rowenta"",""text"":""rowenta"",""start"":4,""end"":11,""token_start"":1,""token_end"":2,""confidence"":1.0,""source"":""brand_exact"",""matched_candidate"":""rowenta"",""unit"":""""},{""type"":""model"",""value"":""Studio Dry Glow CV5820F0"",""text"":""studio dry glow cv5820f0"",""start"":12,""end"":36,""token_start"":2,""token_end"":6,""confidence"":1.0,""source"":""model_catalog_exact"",""matched_candidate"":""studio dry glow cv5820f0"",""unit"":""""}]",A,validation,"",""
03123470ac61286fe1848a86,NRK41814S4I,nrk41814s4i,холодильники,1.0,"[{""type"":""model"",""value"":""NRK41814S4I"",""text"":""nrk41814s4i"",""start"":0,""end"":11,""token_start"":0,""token_end"":1,""confidence"":1.0,""source"":""model_catalog_exact"",""matched_candidate"":""nrk41814s4i"",""unit"":""""}]",A,validation,"",""
73be4bd09d3116a60e2cdb6a,смартфоны huawei nova 512 гб,смартфоны huawei nova 512 гб,смартфоны,1.0,"[{""type"":""brand"",""value"":""huawei"",""text"":""huawei"",""start"":10,""end"":16,""token_start"":1,""token_end"":2,""confidence"":1.0,""source"":""brand_exact"",""matched_candidate"":""huawei"",""unit"":""""},{""type"":""memory_rom"",""value"":""512 гб"",""text"":""512 гб"",""start"":22,""end"":28,""token_start"":3,""token_end"":5,""confidence"":1.0,""source"":""attribute_catalog_exact"",""matched_candidate"":""512 гб"",""unit"":""""}]",A,validation,"",""
eb857f7b0731857b29df68b2,Телевизор Яндекс ТВ Станция QLED с Алисой 55’’ 4K UHD,телевизор яндекс тв станция qled с алисой 55 4k uhd,телевизоры,1.0,"[{""type"":""brand"",""value"":""яндекс"",""text"":""яндекс"",""start"":10,""end"":16,""token_start"":1,""token_end"":2,""confidence"":1.0,""source"":""brand_exact"",""matched_candidate"":""яндекс"",""unit"":""""},{""type"":""display_technology"",""value"":""qled"",""text"":""qled"",""start"":28,""end"":32,""token_start"":4,""token_end"":5,""confidence"":1.0,""source"":""attribute_catalog_exact"",""matched_candidate"":""qled"",""unit"":""""}]",A,validation,"",""
e093ae79cbc82eda0e55e248,"Телевизор 4К QE50Q7FAAUXRU 50"", HDR, 60 Гц","телевизор 4к qe50q7faauxru 50 , hdr, 60 гц",телевизоры,1.0,"[{""type"":""model"",""value"":""QE50Q7FAAUXRU"",""text"":""qe50q7faauxru"",""start"":13,""end"":26,""token_start"":2,""token_end"":3,""confidence"":1.0,""source"":""model_catalog_exact"",""matched_candidate"":""qe50q7faauxru"",""unit"":""""},{""type"":""refresh_rate"",""value"":""60 гц"",""text"":""60 гц"",""start"":37,""end"":42,""token_start"":5,""token_end"":7,""confidence"":1.0,""source"":""attribute_catalog_exact"",""matched_candidate"":""60 гц"",""unit"":""Гц""}]",A,validation,"",""
84a80730925b4922120e8bda,"Apple Ноутбук 13.6"", Apple M5 (10 CPU, 10 GPU), RAM 16 ГБ, SSD 1024 ГБ, Apple M5 GPU (10-core),","apple ноутбук 13.6 , apple m5 (10 cpu, 10 gpu), ram 16 гб, ssd 1024 гб, apple m5 gpu (10 core),",ноутбуки,1.0,"[{""type"":""brand"",""value"":""apple"",""text"":""apple"",""start"":0,""end"":5,""token_start"":0,""token_end"":1,""confidence"":1.0,""source"":""brand_exact"",""matched_candidate"":""apple"",""unit"":""""},{""type"":""brand"",""value"":""apple"",""text"":""apple"",""start"":21,""end"":26,""token_start"":4,""token_end"":5,""confidence"":1.0,""source"":""brand_exact"",""matched_candidate"":""apple"",""unit"":""""},{""type"":""processor_model"",""value"":""m5"",""text"":""m5"",""start"":27,""end"":29,""token_start"":5,""token_end"":6,""confidence"":1.0,""source"":""attribute_catalog_exact"",""matched_candidate"":""m5"",""unit"":""""},{""type"":""memory_ram"",""value"":""16 гб"",""text"":""16 гб"",""start"":52,""end"":57,""token_start"":11,""token_end"":13,""confidence"":1.0,""source"":""attribute_catalog_exact"",""matched_candidate"":""16 гб"",""unit"":""ГБ""},{""type"":""brand"",""value"":""apple"",""text"":""apple"",""start"":72,""end"":77,""token_start"":16,""token_end"":17,""confidence"":1.0,""source"":""brand_exact"",""matched_candidate"":""apple"",""unit"":""""},{""type"":""processor_model"",""value"":""m5"",""text"":""m5"",""start"":78,""end"":80,""token_start"":17,""token_end"":18,""confidence"":1.0,""source"":""attribute_catalog_exact"",""matched_candidate"":""m5"",""unit"":""""}]",A,validation,"",""
73ce748ddf0644b3b0c59dca,"Телевизор 4К UE85U8000FUXRU 85"", UHD, 60 Гц","телевизор 4к ue85u8000fuxru 85 , uhd, 60 гц",телевизоры,1.0,"[{""type"":""model"",""value"":""UE85U8000FUXRU"",""text"":""ue85u8000fuxru"",""start"":13,""end"":27,""token_start"":2,""token_end"":3,""confidence"":1.0,""source"":""model_catalog_exact"",""matched_candidate"":""ue85u8000fuxru"",""unit"":""""},{""type"":""refresh_rate"",""value"":""60 гц"",""text"":""60 гц"",""start"":38,""end"":43,""token_start"":5,""token_end"":7,""confidence"":1.0,""source"":""attribute_catalog_exact"",""matched_candidate"":""60 гц"",""unit"":""Гц""}]",A,validation,"",""
f654c846df6188be75351391,HRF225WBRU,hrf225wbru,встраиваемые холодильники,1.0,"[{""type"":""model"",""value"":""HRF225WBRU"",""text"":""hrf225wbru"",""start"":0,""end"":10,""token_start"":0,""token_end"":1,""confidence"":0.938051,""source"":""model_catalog_exact"",""matched_candidate"":""hrf225wbru"",""unit"":""""}]",A,validation,"",""
8d61ac633ca0928c3d4c6c31, Vard VDI651C,vard vdi651c,встраиваемые посудомоечные машины,1.0,"[{""type"":""brand"",""value"":""vard"",""text"":""vard"",""start"":0,""end"":4,""token_start"":0,""token_end"":1,""confidence"":1.0,""source"":""brand_exact"",""matched_candidate"":""vard"",""unit"":""""},{""type"":""model"",""value"":""VDI651C"",""text"":""vdi651c"",""start"":5,""end"":12,""token_start"":1,""token_end"":2,""confidence"":1.0,""source"":""model_catalog_exact"",""matched_candidate"":""vdi651c"",""unit"":""""}]",A,validation,"",""
614478666180328935fbce6a,Планшет HUAWEI MatePad 11.5 PaperMatte 8 ГБ + 256 ГБ Фиолетовый + Клавиатура,планшет huawei matepad 11.5 papermatte 8 гб + 256 гб фиолетовый + клавиатура,планшеты,1.0,"[{""type"":""brand"",""value"":""huawei"",""text"":""huawei"",""start"":8,""end"":14,""token_start"":1,""token_end"":2,""confidence"":1.0,""source"":""brand_exact"",""matched_candidate"":""huawei"",""unit"":""""},{""type"":""memory_ram"",""value"":""8 гб"",""text"":""8 гб"",""start"":39,""end"":43,""token_start"":6,""token_end"":8,""confidence"":0.938954,""source"":""attribute_catalog_exact"",""matched_candidate"":""8 гб"",""unit"":""ГБ""},{""type"":""memory_rom"",""value"":""256 гб"",""text"":""256 гб"",""start"":46,""end"":52,""token_start"":8,""token_end"":10,""confidence"":0.895922,""source"":""attribute_catalog_exact"",""matched_candidate"":""256 гб"",""unit"":""ГБ""}]",A,validation,"",""
9a93fdc18843d590e1363f70,Внешний аккумулятор Baseus PicoGo Digital Display 10000 мАч Cosmic Black,внешний аккумулятор baseus picogo digital display 10000 мач cosmic black,внешние аккумуляторы,1.0,"[{""type"":""brand"",""value"":""baseus"",""text"":""baseus"",""start"":20,""end"":26,""token_start"":2,""token_end"":3,""confidence"":1.0,""source"":""brand_exact"",""matched_candidate"":""baseus"",""unit"":""""},{""type"":""battery_capacity"",""value"":""10000 мач"",""text"":""10000 мач"",""start"":50,""end"":59,""token_start"":6,""token_end"":8,""confidence"":1.0,""source"":""attribute_catalog_exact"",""matched_candidate"":""10000 мач"",""unit"":""мАч""}]",A,validation,"",""
5d19a35d2e02143b554d6663,Планшет Хуавей 13.2 дюйма,планшет хуавей 13.2 дюйма,планшеты,1.0,"[{""type"":""brand"",""value"":""huawei"",""text"":""хуавей"",""start"":8,""end"":14,""token_start"":1,""token_end"":2,""confidence"":1.0,""source"":""brand_alias_exact"",""matched_candidate"":""хуавей"",""unit"":""""},{""type"":""screen_diagonal"",""value"":""13.2 дюйм"",""text"":""13.2 дюйма"",""start"":15,""end"":25,""token_start"":2,""token_end"":5,""confidence"":1.0,""source"":""attribute_catalog_exact"",""matched_candidate"":""13.2 дюйм"",""unit"":""\""""}]",A,validation,"",""
fae3a883cb6d4c0bf252d467,Aukey Spark Sling 10000 мАч,aukey spark sling 10000 мач,внешние аккумуляторы,1.0,"[{""type"":""brand"",""value"":""aukey"",""text"":""aukey"",""start"":0,""end"":5,""token_start"":0,""token_end"":1,""confidence"":1.0,""source"":""brand_exact"",""matched_candidate"":""aukey"",""unit"":""""},{""type"":""battery_capacity"",""value"":""10000 мач"",""text"":""10000 мач"",""start"":18,""end"":27,""token_start"":3,""token_end"":5,""confidence"":1.0,""source"":""attribute_catalog_exact"",""matched_candidate"":""10000 мач"",""unit"":""мАч""}]",A,validation,"",""
9081e79d8ed7028603a14f3c,"LG Телевизор 50NANO81A6A.ARUG, Direct LED, Smart TV, 60 Гц 50″ 4K UHD, черный","lg телевизор 50nano81a6a.arug, direct led, smart tv, 60 гц 50′′ 4k uhd, черный",телевизоры,1.0,"[{""type"":""brand"",""value"":""lg"",""text"":""lg"",""start"":0,""end"":2,""token_start"":0,""token_end"":1,""confidence"":1.0,""source"":""brand_exact"",""matched_candidate"":""lg"",""unit"":""""},{""type"":""refresh_rate"",""value"":""60 гц"",""text"":""60 гц"",""start"":53,""end"":58,""token_start"":8,""token_end"":10,""confidence"":1.0,""source"":""attribute_catalog_exact"",""matched_candidate"":""60 гц"",""unit"":""Гц""}]",A,validation,"",""
b544237473d4a03fe00572b1,"Аккумулятор с USB разъемом G40USB4 40 В, 4 Ач GreenWorks 2939507","аккумулятор с usb разъемом g40usb4 40 в, 4 ач greenworks 2939507",аккумуляторы для электроинструментов,1.0,"[{""type"":""battery_capacity"",""value"":""4 ач"",""text"":""4 ач"",""start"":41,""end"":45,""token_start"":7,""token_end"":9,""confidence"":0.872216,""source"":""attribute_catalog_exact"",""matched_candidate"":""4 ач"",""unit"":""Ач""}]",A,validation,"",""
